Name,NameC,Category,CategoryIndex,Cmd,ObjectCode,DataType,Access,LowerLimit,UpperLimit,DefaultValue,Unit,VariableName,NonVolatile,DriveStatus,Effective,Public,Transform,402Index,402SubIndex,402ObjectCode,402DataType,402LowerLimit,402UpperLimit,402DefaultValue,402Unit,Description,InternalNotes,PDOMapping,ModbusStartAddress,ModbusLength,正确性,备注,ParamsType
Product Code,产品代号,Drive,0,,Val,UNS32,RO,0,4294967295,65537,-,product_code,Y,Enabled|Disabled,只读,Y,1,0x3589,0x00,Val,UNS32,0,4294967295,65537,-,产品代号用于区分产品系列和通讯类型,https://hs9e67ygio.feishu.cn/wiki/wikcnCLWlQ5FZIxOQXYy13kkr2c,No,530,2,,,驱动器参数
Motor Type,电机类型,Motor,0,MTYPE,Val,UNS16,RW,0,65535,3,-,motor_type,Y,Disabled,立即,Y,1,0x6402,0x00,Val,UNS16,0,65535,3,-,"0x01：直流有刷电机
0x03：永磁同步旋转电机
0x08：步进电机
0x8001：永磁同步直线电机
0x8002：音圈电机",,,61660,1,疑问,,伺服电机参数
Serial Number,序列号,Drive,1,,Array,UNS8,RO,0,255,0,-,sn[32],Y,Enabled|Disabled,只读,Y,1,0x35AE,,Array,UNS8,0,255,0,-,序列号用于区分不同的驱动器,,No,771,1,,,驱动器参数
InterfaceBoard Hardware Version,接口板硬件版本号,Drive,2,,Val,UNS32,RO,0,4294967295,0,-,interfaceboard_hw_version,Y,Enabled|Disabled,只读,Y,1,0x3561,0x00,Val,UNS32,0,4294967295,0,-,,,No,401,2,,,驱动器参数
InterfaceBoard Softerware Version,接口板软件版本号,Drive,3,,Val,UNS32,RO,0,4294967295,0,-,interfaceboard_sw_version,Y,Enabled|Disabled,只读,Y,1,0x3562,0x00,Val,UNS32,0,4294967295,0,-,,,No,403,2,,,驱动器参数
DriveBoard Hardware Version,驱动板硬件版本号,Drive,4,,Val,UNS32,RO,0,4294967295,0,-,driveboard_hw_version,Y,Enabled|Disabled,只读,Y,1,0x3563,0x00,Val,UNS32,0,4294967295,0,-,,,No,405,2,,,驱动器参数
DriveBoard Software Version,驱动板软件版本号,Drive,5,,Val,UNS32,RO,0,4294967295,0,-,driveboard_sw_version,Y,Enabled|Disabled,只读,Y,1,0x3564,0x00,Val,UNS32,0,4294967295,0,-,,,No,407,2,,,驱动器参数
Supported Communication Type,支持的通讯类型,Drive,6,,Val,UNS32,RO,0,4294967295,0,-,supported_communication_type,Y,Enabled|Disabled,只读,Y,1,0x35AB,0x00,Val,UNS8,0,255,0,-,,,No,756,1,错误,前后数据类型不一致（需要改为UNS32）,驱动器参数
Supported Position Feedback Type,支持的位置反馈类型,Drive,7,,Val,UNS32,RO,,,2,-,supported_position_fb_type,Y,Enabled|Disabled,只读,Y,1,0x35AC,0x00,Val,UNS8,0,0,2,-,,,No,757,1,错误,前后数据类型不一致（需要改为UNS32）,驱动器参数
Supported Control Signal Type,支持的控制信号类型,Drive,8,,Val,UNS32,RO,,,3,-,supported_control_signal_type,Y,Enabled|Disabled,只读,N,,,,,,-,-,-,,,,No,,,,实际没有使用,驱动器参数
Supported Operation Modes,支持的运行模式,Drive,9,,Val,UNS32,RO,0,,1005,-,supported_op_modes,Y,Enabled|Disabled,只读,Y,1,0x6502,0x00,Val,UNS32,0,0,1005,-,,,No,61662,2,,实际没有使用,驱动器参数
Drive Bus Voltage Upper Limit,驱动器母线电压上限,Drive,10,,Val,REAL32,RO,0,3.40282347e+38,2,V,drive_bus_voltage_upper_limit,Y,Enabled|Disabled,只读,Y,1000,0x35BE,0x00,Val,UNS32,0,4294967295,2000,mV,驱动器正常工作的母线电压最大值,,No,897,2,疑问,实际读出来是0,驱动器参数
Drive Bus Voltage Lower Limit,驱动器母线电压下限,Drive,11,,Val,REAL32,RO,0,3.40282347e+38,1,V,drive_bus_voltage_lower_limit,Y,Enabled|Disabled,只读,Y,1000,0x35BF,0x00,Val,UNS32,0,4294967295,1000,mV,驱动器正常工作的母线电压的最小值，低于此电压驱动器不工作,,No,899,2,疑问,实际读出来是0,驱动器参数
Drive Peak Current,驱动器峰值电流,Drive,12,DIPEAK,Val,REAL32,RO,0,3.40282347e+38,20,A,drive_peak_current,Y,Enabled|Disabled,只读,Y,1000,0x35B8,0x02,Val,UNS32,0,4294967295,20000,mA,,https://hs9e67ygio.feishu.cn/wiki/wikcnZ2JYA2xB8EBAXHphXM7Ejg?from=from_copylink,,825,2,,,驱动器参数
Communication Type,通讯类型,Commucation,0,,Val,UNS8,RW,0,3,0,-,communication_type,Y,Disabled,,Y,1,0x3004,0x00,Val,UNS8,0,3,0,-,"0：CAN
1：EtheCat
2：Modbus
3：Pluse",,,3,1,错误,Access错误。通讯类型可读可写？应该是只读吧,通讯参数
Drive Continuous Current,驱动器额定电流,Drive,13,DICONT,Val,REAL32,RO,0,3.40282347e+38,10,A,drive_cont_current,Y,Enabled|Disabled,只读,Y,1000,0x35B8,0x01,Val,UNS32,0,4294967295,10000,mA,,https://hs9e67ygio.feishu.cn/wiki/wikcnZ2JYA2xB8EBAXHphXM7Ejg?from=from_copylink,,823,2,,,驱动器参数
Production Batch Version,生产批次版本号,Drive,14,,Val,UNS32,RO,0,4294967295,0,-,production_batch_version,Y,Enabled|Disabled,只读,Y,1,0x35F1,0x00,Val,UNS32,0,4294967295,0,,,,,973,2,,,驱动器参数
ADC Hardware Voltage Lower Limit,ADC硬件电压下限,Drive,15,,Val,REAL32,RO,-3.40282347e+38,3.40282347e+38,-10,V,adc_hw_voltage_lower_limit,Y,Enabled|Disabled,只读,Y,1000,0x3650,0x00,,INTEGER32,-2147483648,2147483647,-10000,mV,,,,1129,2,疑问,没有402ObjectCode,驱动器参数
Motor Special Type,电机特殊类型,Motor,1,MSTYPE,Val,UNS8,RW,0,255,0,-,motor_special_type,Y,Disabled,,N,1,,,,,-,-,-,,,,,,,,,伺服电机参数
ADC Hardware Voltage Upper Limit,ADC硬件电压上限,Drive,16,,Val,REAL32,RO,-3.40282347e+38,3.40282347e+38,10,V,adc_hw_voltage_upper_limit,Y,Enabled|Disabled,只读,Y,1000,0x3651,0x00,,INTEGER32,-2147483648,2147483647,10000,mV,,,,1131,2,疑问,没有402ObjectCode,驱动器参数
Drive Name,驱动器名称,Drive,17,,Array,UNS8,RW,0,255,0,-,drive_name[20],Y,Enabled|Disabled,立即,Y,1,0x365D,,Array,UNS8,0,255,0,-,,,,1154,1,,,驱动器参数
BSP Software Version,BSP软件版本号,Drive,18,,Val,UNS32,RO,0,4294967295,0,-,bsp_sw_version,Y,Enabled|Disabled,只读,N,1,,,Val,UNS32,-,-,-,-,,,,,,,暂未添加,驱动器参数
